nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
Le Bon Garage;18 Rue des Terres Fortes, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 87 07 12 62;fixe;https://www.le-bon-garage.fr/;Cadidia Sow;officielle;petite PME (probable);lundi: 09:00 – 13:00, 14:00 – 18:30 | mardi: 09:00 – 13:00, 14:00 – 18:30 | mercredi: 09:00 – 13:00, 14:00 – 18:30 | jeudi: 09:00 – 13:00, 14:00 – 18:30 | vendredi: 09:00 – 13:00, 14:00 – 18:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec forte demande de réservations et gestion d'appels (mentions récurrentes de disponibilité/rendez-vous) ; Qalm AI optimiserait la prise de RDV 24/7 et éviterait les fermetures non communiquées qui génèrent des clients perdus. | Volume d'avis solide (119) | Décideur identifié (Cadidia Sow) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
L36 Klassik Auto;36 Rue Waldeck Rousseau, 77360 Vaires-sur-Marne, France;Lagny-sur-Marne 77400;06 32 38 28 21;mobile;http://l36.fr/;Philippe Seonnet (seonnet);officielle;TPE;lundi: 09:00 – 18:00 | mardi: 09:00 – 18:00 | mercredi: 09:00 – 18:00 | jeudi: 09:00 – 18:00 | vendredi: 09:00 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant spécialisé (véhicules anciens, VW, Porsche) avec forte réputation locale ; nécessite un standard IA pour gérer les appels de passionnés, les demandes de devis et les réservations de visites sans surcharger Philippe et son équipe. | Ligne mobile → décideur joignable en direct | Décideur identifié (Philippe Seonnet (seonnet)) | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
vsp marne la vallee;19 Rue Ampère, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;01 64 12 23 10;fixe;https://www.paruvendu.fr/auto-moto/pro/paris-est-auto-pomponne-77-45723/?affAnn=1;Jerome Tissier;officielle;TPE;lundi: 10:00 – 18:00 | mardi: 10:00 – 18:00 | mercredi: 10:00 – 18:00 | jeudi: 10:00 – 18:00 | vendredi: 10:00 – 18:00 | samedi: 10:00 – 18:00 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Concession indépendante de voitures sans permis avec forte réputation (5/5 avis) et gestion de réservations/devis ; Qalm AI optimiserait la qualification des demandes et la prise de rendez-vous 24/7 pour capitaliser sur cette notoriété locale. | Décideur identifié (Jerome Tissier) | Créneaux critiques (Fermé dimanche)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
AUTO DEPANNAGE SERVICES VAIRES - CARROSSERIE AD;16 Quai du Port, 77360 Vaires-sur-Marne, France;Lagny-sur-Marne 77400;01 60 20 06 87;fixe;https://www.adsv-77.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb;;;petite PME (probable);lundi: 08:00 – 12:00, 13:00 – 17:00 | mardi: 08:00 – 12:00, 13:00 – 17:00 | mercredi: 08:00 – 12:00, 13:00 – 17:00 | jeudi: 08:00 – 12:00, 13:00 – 17:00 | vendredi: 08:00 – 12:00, 13:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec forte activité de dépannage et réservations ; gestion 24/7 des appels urgents et prise de rendez-vous critiques pour optimiser le taux de conversion et réduire les appels manqués. | Dépannage / Urgence (chaque appel manqué = intervention à forte valeur perdue) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
INSTALLSPEED;4 Rue de la Découverte, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 43 32 92 75;fixe;https://www.installspeed.fr/;Gabriel Ailiesei;officielle;TPE/solo (indéterminé);lundi: 08:00 – 12:00, 14:00 – 17:00 | mardi: 08:00 – 12:00, 14:00 – 17:00 | mercredi: 08:00 – 12:00, 14:00 – 17:00 | jeudi: 08:00 – 12:00, 14:00 – 17:00 | vendredi: 08:00 – 12:00, 14:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME multi-services (frigoriste, climatisation, piscine, paysage, auto-école) avec forte demande de réservations et appels urgents ; Qalm AI optimiserait la qualification et la prise de rendez-vous 24/7 sur ces 5 métiers à fort trafic potentiel. | Décideur identifié (Gabriel Ailiesei) | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
M FLORE;8 All. Rodin, 77500 Chelles, France;Lagny-sur-Marne 77400;01 87 07 86 58;fixe;http://m-flore.fr/;;;TPE (probable);lundi: 07:30 – 19:00 | mardi: 07:30 – 19:00 | mercredi: 07:30 – 19:00 | jeudi: 07:30 – 19:00 | vendredi: 07:30 – 19:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Entreprise de paysagisme/terrassement indépendante avec excellente réputation (5/5 avis) et forte demande de coordination de chantiers ; Qalm AI optimiserait la gestion des appels de devis, réservations et suivi client 24/7 pour éviter les appels manqués en période de forte activité. | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Liftasud IDF Torcy;7 Rue des Epinettes, 77200 Torcy, France;Lagny-sur-Marne 77400;01 72 84 07 07;fixe;http://www.liftasud.fr/;;;petite PME (probable);lundi: 07:00 – 12:00, 13:30 – 17:30 | mardi: 07:00 – 12:00, 13:30 – 17:30 | mercredi: 07:00 – 12:00, 13:30 – 17:30 | jeudi: 07:00 – 12:00, 13:30 – 17:30 | vendredi: 07:00 – 12:00, 13:30 – 16:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Grossiste CVC/climatisation indépendant avec flux commercial régulier (partenaires B2B, appels de devis) ; Qalm AI optimiserait la qualification des demandes techniques et la gestion des appels en heures creuses pour libérer l'équipe réduite. | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Acorus Collégien Hôtellerie – Tertiaire – Climatisation;2 Rue de Lamirault, 77090 Collégien, France;Lagny-sur-Marne 77400;01 79 78 08 60;fixe;https://www.groupe-acorus.fr/;Christian Machado;haute (certifiée avis);TPE (probable);lundi: 08:00 – 12:00, 13:00 – 17:00 | mardi: 08:00 – 12:00, 13:00 – 17:00 | mercredi: 08:00 – 12:00, 13:00 – 17:00 | jeudi: 08:00 – 12:00, 13:00 – 17:00 | vendredi: 08:00 – 12:00, 13:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Entreprise électricité-climatisation indépendante avec forte réputation locale (5/5 avis) et interventions d'urgence fréquentes ; Qalm AI optimiserait la gestion des appels urgents 24/7 et les demandes de dépannage rapide pour libérer les équipes terrain. | Hôtel (appels et réservations 24/7) | Décideur identifié (Christian Machado) | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Passe la Seconde - Auto-école Torcy;2 Rue de Girvan, 77200 Torcy, France;Lagny-sur-Marne 77400;01 60 05 35 75;fixe;https://auto-ecole.codesrousseau.fr/annuaire-auto-ecoles/torcy/passe-la-seconde/33100;;;petite PME (probable);lundi: Fermé | mardi: 16:00 – 19:00 | mercredi: 16:00 – 19:00 | jeudi: 16:00 – 19:00 | vendredi: 16:00 – 19:00 | samedi: 11:00 – 14:00 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec forte réputation locale et flux de demandes de réservation/qualification ; Qalm AI optimiserait la gestion 24/7 des appels entrants pour fixer rapidement les examens et capter les prospects en dehors des heures d'ouverture. | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Piscines Ibiza Marne la Vallée;14 Rue des Rougeriots, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;09 87 31 93 60;fixe;https://www.piscines-ibiza.com/nos-piscinistes/pisciniste-marne-la-vallee/;;;petite PME (probable);lundi: Fermé | mardi: 09:30 – 12:30, 14:30 – 18:30 | mercredi: 09:30 – 12:30, 14:30 – 18:30 | jeudi: 09:30 – 12:30, 14:30 – 18:30 | vendredi: 09:30 – 12:30, 14:30 – 18:30 | samedi: 09:30 – 12:30, 14:30 – 18:30 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Pisciniste indépendant avec forte demande de réservations et suivi client (5 avis très positifs mentionnant disponibilité/réactivité) ; Qalm AI optimiserait la gestion 24/7 des appels de devis, réservations de chantier et demandes d'entretien pour éviter les surcharges téléphoniques. | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Pisciniste CARON PISCINES;9 All. Antoine Bourdelle, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;06 50 13 56 29;mobile;https://pisciniste-caron-piscines.fr/;Ruiz;haute (certifiée avis);TPE (probable);lundi: 08:00 – 19:00 | mardi: 08:00 – 19:00 | mercredi: 08:00 – 19:00 | jeudi: 08:00 – 19:00 | vendredi: 08:00 – 19:00 | samedi: 08:00 – 19:00 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Pisciniste indépendant avec forte réactivité client et interventions d'urgence (pannes, réparations) ; Qalm AI optimiserait la gestion des appels de demandes de dépannage 24/7 et des réservations d'interventions pour capitaliser sur sa réputation d'excellence. | Ligne mobile → décideur joignable en direct | Décideur identifié (Ruiz) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Auto-Moto-Ecole Permis City;1 Rue de la Gare, 77360 Vaires-sur-Marne, France;Lagny-sur-Marne 77400;01 64 21 94 82;fixe;http://permiscity.com/;;;petite PME (probable);lundi: 10:00 – 12:00, 14:00 – 19:00 | mardi: 10:00 – 12:00, 14:00 – 19:00 | mercredi: 10:00 – 12:00, 14:00 – 19:00 | jeudi: 10:00 – 12:00, 14:00 – 19:00 | vendredi: 10:00 – 12:00, 14:00 – 19:00 | samedi: 10:00 – 14:00 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec forte demande de réservations et gestion administrative ; Qalm AI optimiserait la prise de rendez-vous 24/7 et la qualification des demandes d'inscription pour décharger le secrétariat actuellement saturé. | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
SMV Paysage;27 Rue Georges Clemenceau, 77400 Thorigny-sur-Marne, France;Lagny-sur-Marne 77400;06 47 89 69 44;mobile;https://www.smv-paysage.fr/contact;Caroline;haute (certifiée avis);TPE (probable);lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00 | jeudi: 08:00 – 18:00 | vendredi: 08:00 – 18:00 | samedi: 08:00 – 14:00 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Paysagiste indépendante avec forte réputation (5 avis très positifs) et flux de demandes de devis/réservations ; Qalm AI optimiserait la capture des appels clients et la qualification des demandes pour éviter les surcharges et améliorer la conversion. | Ligne mobile → décideur joignable en direct | Décideur identifié (Caroline) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
IDEM CUISINES;8 Rue de la Découverte, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 43 30 88 88;fixe;http://www.idem-cuisines.fr/;Jerome Leplatre (leplatre);officielle;petite PME;lundi: 09:00 – 17:00 | mardi: 09:00 – 17:00 | mercredi: 09:00 – 17:00 | jeudi: 09:00 – 17:00 | vendredi: 09:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME indépendante multi-secteurs (cuisines, literie, électroménager, meubles) avec besoin de gestion d'appels clients et de réservations ; Qalm AI optimiserait la qualification des demandes et la disponibilité 24/7 pour augmenter les conversions. | Décideur identifié (Jerome Leplatre (leplatre)) | PME structurée (20-49) → budget solvable | Créneaux critiques (Fermé week-end)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
L'atelier;1 Bd Pierre Mendès France, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 87 07 33 58;fixe;http://www.latelierduplacard.com/?utm_source=gmb;Christelle Lachaier (chenot);officielle;TPE;lundi: Fermé | mardi: 09:30 – 12:30, 14:30 – 18:30 | mercredi: 09:30 – 12:30, 14:30 – 18:30 | jeudi: 09:30 – 12:30, 14:30 – 18:30 | vendredi: 09:30 – 12:30, 14:30 – 18:30 | samedi: 10:00 – 12:30, 14:30 – 18:00 | dimanche: Fermé;Fermé dimanche;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Menuisier-cuisiniste indépendant avec forte réputation locale (5/5 avis) générant des demandes de devis et rendez-vous ; Qalm AI optimiserait la capture d'appels entrants, la qualification des projets sur-mesure et la prise de rendez-vous pour réduire les délais de réponse. | Décideur identifié (Christelle Lachaier (chenot)) | Créneaux critiques (Fermé dimanche)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
R Et F Solutions;15 Av. Christian Doppler, 77700 Bailly-Romainvilliers, France;Lagny-sur-Marne 77400;09 83 80 80 55;fixe;http://www.pro-electro.fr/%20https://rfsolutions.fr/;Renaud Richert;officielle;TPE;lundi: 08:30 – 18:00 | mardi: 08:30 – 18:00 | mercredi: 08:30 – 18:00 | jeudi: 08:30 – 18:00 | vendredi: 08:30 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;78;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME indépendante multi-secteurs (cuisiniste, literie, électroménager, meubles) avec forte activité B2B et B2C nécessitant gestion d'appels de réservation/devis et coordination logistique ; les retards de livraison et défaut de communication téléphonique identifiés justifient un standard IA 24/7 pour améliorer la réactivité client. | Décideur identifié (Renaud Richert) | Créneaux critiques (Fermé week-end)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
PETER PINTES - BAR À BIÈRE;11 Av. de Saria, 77700 Serris, France;Lagny-sur-Marne 77400;01 60 43 18 58;fixe;https://www.peterpintes.fr/;;;petite PME (probable);lundi: 10:00 – 01:00 | mardi: 10:00 – 14:30, 17:00 – 01:00 | mercredi: 10:00 – 14:30, 17:00 – 01:00 | jeudi: 10:00 – 14:30, 17:00 – 01:00 | vendredi: 10:00 – 14:30, 17:00 – 01:00 | samedi: 17:00 – 01:00 | dimanche: Fermé;Fermé dimanche;non;;77;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Bar indépendant avec forte ambiance sociale et clientèle fidèle ; Qalm AI optimiserait la gestion des réservations de groupe et des appels de commande de plateau apéritif/saucisson, réduisant la charge manuelle des serveurs en heures de pointe. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (377) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Mme Beauté;44 Rue Saint-Sauveur, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;01 60 31 80 69;fixe;https://www.planity.com/mme-beaute-77400-lagny-sur-marne;Bao Linh Le (tran);officielle;petite PME (probable);lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 19:00 | jeudi: 09:00 – 19:00 | vendredi: 09:00 – 19:00 | samedi: 09:00 – 17:00 | dimanche: Fermé;Fermé dimanche;non;;77;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte réputation locale (5 avis excellents) ; gestion des réservations et appels clients pour piercings et prestations ongulaires justifie un standard IA, mais volume d'appels modéré et absence de plainte téléphonique limitent l'urgence. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Bao Linh Le (tran)) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
"""Les Mains d'Ayoa"" Massages en Yourte";57 Chem. du Ru Bicheret, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;06 18 21 59 68;mobile;https://www.les-mains-dayoa.com/;Cynthia;haute (certifiée avis);petite PME (probable);lundi: 09:00 – 18:30 | mardi: 08:30 – 18:30 | mercredi: 08:30 – 18:30 | jeudi: 08:30 – 18:30 | vendredi: 08:30 – 18:30 | samedi: 07:00 – 16:00 | dimanche: Fermé;Fermé dimanche;non;;77;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Praticienne indépendante en massage/bien-être avec forte réputation (5/5 avis) ; gestion des réservations et appels entrants 24/7 nécessaire pour capitaliser sur la demande croissante sans surcharge administrative. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (323) → fort trafic d'appels | Ligne mobile → décideur joignable en direct | Décideur identifié (Cynthia) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Lôrence Coiffure & Esthétique - Coiffeur Val d'Europe;4 Rue du Port, 77450 Esbly, France;Lagny-sur-Marne 77400;01 61 10 23 96;fixe;http://lorenceinstitut.fr/;;;petite PME (probable);lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 19:00 | jeudi: 09:00 – 19:00 | vendredi: 09:00 – 19:00 | samedi: 09:00 – 18:00 | dimanche: Fermé;Fermé dimanche;non;;77;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Salon de coiffure indépendant avec forte réputation (5 avis excellents) et équipe multi-coiffeurs ; Qalm AI optimiserait la gestion des appels de réservation et qualification des demandes pour éviter les surcharges lors des pics d'affluence. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1013) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
by chonchon;51 Rue de Lagny 28 bis, 77400 Saint-Thibault-des-Vignes, France;Lagny-sur-Marne 77400;06 68 07 87 45;mobile;https://bychonchon.fr/;Sylvain De Sa;officielle;TPE (probable);lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 20:30 | jeudi: 09:00 – 19:00 | vendredi: 09:00 – 19:00 | samedi: 09:00 – 19:00 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur indépendant avec forte demande événementielle (5 avis très positifs) ; Qalm AI optimiserait la gestion des appels de réservation, devis et confirmations 24/7 pour libérer Sylvain et structurer le flux commercial croissant. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Sylvain De Sa) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Complexe sportif Maurice Herzog;21-23 Bd des Genêts, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 64 66 14 61;fixe;https://fr.mappy.com/poi/5f16956e7b636c505850f5cb;;;petite PME (probable);lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24 | dimanche: Ouvert 24h/24;Ouvert 24h/24;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Établissement multi-services (restaurant, salle de sport, golf, bowling, traiteur) avec gestion d'événements et réservations ; besoin avéré de standard 24/7 pour qualifier les demandes de spectacles, réservations de salles et appels clients, mais structure publique/municipale limite l'autonomie d'achat. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (232) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Ouvert 24h/24)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Le Fit Club - Protein Bar & Fitness;47 Bd de Lagny, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;06 43 37 97 12;mobile;https://www.lefitclub.com/;;;petite PME (probable);lundi: Fermé | mardi: 10:00 – 17:00 | mercredi: 10:00 – 17:00 | jeudi: 10:00 – 17:00 | vendredi: 10:00 – 17:00 | samedi: 11:30 – 17:30 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Établissement indépendant multi-services (fitness + protein bar + relais colis) avec forte demande de gestion d'appels pour réservations de séances, inscriptions et services annexes ; Qalm AI optimiserait la disponibilité 24/7 et la qualification des demandes clients. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (177) | Ligne mobile → décideur joignable en direct | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
MIMOSA DE PARIS - Cheffe nomade;37 Av. Henri Barbusse, 77360 Vaires-sur-Marne, France;Lagny-sur-Marne 77400;06 73 02 69 13;mobile;https://mimosa-de-paris-chef-a-domicile.business.site/?utm_source=gmb&utm_medium=referral;Mai;haute (certifiée avis);TPE (probable);lundi: 10:00 – 19:00 | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 19:00 | samedi: 10:00 – 19:00 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Cheffe traiteur indépendante avec forte demande événementielle (anniversaires, ateliers, repas de groupe) ; Qalm AI optimiserait la gestion des appels de réservation et devis 24/7 pour capitaliser sur sa réputation excellente et augmenter son volume de prestations. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Mai) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Afit Studio EMS Miha Bodytec, Electrostimulation et coaching sportif;5 All. des Rossignols, 77410 Claye-Souilly, France;Lagny-sur-Marne 77400;07 76 08 55 43;mobile;http://www.afitstudio77.com/;;;petite PME (probable);lundi: 09:00 – 20:00 | mardi: 09:00 – 20:00 | mercredi: 09:00 – 20:00 | jeudi: 09:00 – 20:00 | vendredi: 09:00 – 20:00 | samedi: 10:00 – 14:00 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Studio de coaching sportif indépendant avec forte demande de réservations et suivi client ; Qalm AI optimiserait la gestion 24/7 des appels de prise de rendez-vous et qualification des nouveaux membres, libérant les coachs Natacha et Arnaud pour se concentrer sur l'accompagnement. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (115) | Ligne mobile → décideur joignable en direct | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
NIKO BEAUTÉ;11-15 Pl. de l'Église, 77200 Torcy, France;Lagny-sur-Marne 77400;06 12 55 14 86;mobile;https://www.treatwell.fr/salon/niko-beaute/;Nicoleta Axinte;officielle;TPE (probable);lundi: Fermé | mardi: 09:00 – 18:00 | mercredi: 09:00 – 18:00 | jeudi: 09:00 – 18:00 | vendredi: 09:00 – 18:00 | samedi: 09:00 – 17:00 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte demande de réservations et accueil client ; Qalm AI optimiserait la gestion des appels entrants 24/7 et les prises de rendez-vous pour libérer Nicoletta et améliorer la conversion client. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Nicoleta Axinte) | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Luxury Massage;4 Sq. du Renard, 77186 Noisiel, France;Lagny-sur-Marne 77400;07 67 94 96 99;mobile;https://luxurymassage77.fr/;Juliette Chantal Michelle Henry;officielle;TPE (probable);lundi: 09:00 – 20:00 | mardi: 09:00 – 20:00 | mercredi: 09:30 – 13:00 | jeudi: 09:00 – 20:00 | vendredi: 09:00 – 20:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de massage indépendant avec forte demande de réservations et excellente réputation (5/5 avis) ; Qalm AI optimiserait la gestion 24/7 des appels de prise de rendez-vous et qualification des demandes pour maximiser le taux de conversion sans surcharger la praticienne. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Juliette Chantal Michelle Henry) | Créneaux critiques (Fermé week-end)";Beauté;institut de beauté, spa, massage
THE CURE;29 Rue d'Ariane, 77700 Chessy, France;Lagny-sur-Marne 77400;01 60 42 34 77;fixe;;Hong Hanh Tran (nguyen);officielle;TPE/solo (indéterminé);lundi: 10:00 – 19:00 | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 19:00 | samedi: 10:00 – 19:00 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte demande de réservations et prestations variées (ongles, pédicure, massage) ; Qalm AI optimiserait la gestion 24/7 des appels entrants et la qualification des demandes pour maximiser le taux de conversion client. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Hong Hanh Tran (nguyen)) | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Beauty by zak Institut;4 Av. Firmin Bidard, 77500 Chelles, France;Lagny-sur-Marne 77400;06 95 25 43 49;mobile;;Colin Jeune;officielle;TPE (probable);lundi: 10:00 – 21:00 | mardi: 10:00 – 21:00 | mercredi: 10:00 – 17:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 18:00 | samedi: 09:00 – 17:00 | dimanche: Fermé;Fermé dimanche;non;;76;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte demande de réservations et suivi client (5 avis très positifs mentionnant relance post-soin) ; Elsa seule praticienne nécessite un standard IA pour gérer les appels entrants, les demandes de RDV et les relances de suivi sans interruption de prestation. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Colin Jeune) | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
